pm25,pm10,so2,no2,co,纬度,经度, 
29.18,43.76,8.24,12.34,0.51,21.73,110.98, 
30.35,44.47,6.54,10.43,0.5,21.72,111.12, 
32.85,46.52,6.15,10.65,0.5,21.71,111.26, 
35.53,49,6.04,11.41,0.49,21.7,111.41, 
36.29,48.22,6.15,11.6,0.46,21.69,111.55, 
33.87,43.16,5.88,9.1,0.39,21.69,111.7, 
24.1,32.62,4.96,4.73,0.28,21.63,112.56, 
22.19,32.3,6.11,5.49,0.28,21.91,100.02, 
22.95,37.38,5.95,9.57,0.33,21.91,100.17, 
23.68,40.45,5.69,12.37,0.37,21.92,100.31, 
23.4,41.69,5.66,12.9,0.39,21.93,100.45, 
24.33,44.7,5.99,14.23,0.42,21.93,100.6, 
24.83,47.34,6.63,20.22,0.46,21.94,100.74, 
24.38,46.69,6.73,21.16,0.46,21.94,100.89, 
22.35,38.96,5.72,12.89,0.38,21.95,101.03, 
21.16,34.17,5.37,9.66,0.34,21.95,101.18, 
20.9,32.74,5.48,9.57,0.33,21.96,101.32, 
21.19,31.55,5.82,7.98,0.31,21.96,101.46, 
21.77,29.36,6.3,4.99,0.27,21.97,101.61, 
46.95,64.66,14.09,9.57,0.55,22,106.8, 
41.6,61.46,12.7,11.39,0.6,22,106.95, 
36.15,55.63,10.63,11.82,0.61,22,107.09, 
30.52,47.37,7.87,10.98,0.59,21.99,107.24, 
27.98,43.3,7.06,11.03,0.58,21.99,107.38, 
27.55,42.23,7.15,11.96,0.6,21.99,107.53, 
27.26,42.1,7.59,13.19,0.64,21.98,107.67, 
27.9,42.98,8.03,14.15,0.68,21.98,107.81, 
30.24,45.72,8.34,15.14,0.73,21.98,107.96, 
31.45,47.27,8.78,17.05,0.78,21.97,108.1, 
30.25,46.64,10.35,19.29,0.84,21.97,108.25, 
26.98,41.9,10.73,17.52,0.83,21.97,108.39, 
24.28,36.9,9.78,15.02,0.76,21.96,108.54, 
22.54,34.3,8.74,13.93,0.74,21.96,108.68, 
21.6,32.07,6.73,11.35,0.68,21.95,108.82, 
21.62,31.85,6.52,11.15,0.65,21.95,108.97, 
22.65,32.82,6.42,11.12,0.63,21.94,109.11, 
23.72,33.99,6.36,11.14,0.62,21.94,109.26, 
24.7,35.25,6.54,11.37,0.61,21.93,109.4, 
25.55,36.46,6.76,11.38,0.6,21.93,109.55, 
26.67,37.78,6.97,11.25,0.58,21.92,109.69, 
27.92,39.64,7.19,11.74,0.58,21.91,109.83, 
28.7,41.3,7.39,12.84,0.59,21.91,109.98, 
28.92,42.21,7.59,13.48,0.59,21.9,110.12, 
28.75,42.84,7.87,13.79,0.58,21.89,110.27, 
